statelgdcode,districtlgdcode,year,state,district,sdyid,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,gdp,beds,tap,child_marriage,nitrate,lyi_kharif_cash,lyi_kharif_cereal,lyi_kharif_coarse,lyi_kharif_hort,lyi_kharif_oilseed,lyi_kharif_pulse,lyi_rabi_cash,lyi_rabi_cereal,lyi_rabi_coarse,lyi_rabi_hort,lyi_rabi_oilseed,lyi_rabi_pulse,lyi_summer_cash,lyi_summer_cereal,lyi_summer_coarse,lyi_summer_hort,lyi_summer_oilseed,lyi_summer_pulse,lyi_wholeyear_cash,lyi_wholeyear_cereal,lyi_wholeyear_coarse,lyi_wholeyear_hort,lyi_wholeyear_oilseed,lyi_wholeyear_pulse,yi_kharif_cash_lag1,yi_kharif_cereal_lag1,yi_kharif_coarse_lag1,yi_kharif_hort_lag1,yi_kharif_oilseed_lag1,yi_kharif_pulse_lag1,yi_rabi_cash_lag1,yi_rabi_cereal_lag1,yi_rabi_coarse_lag1,yi_rabi_hort_lag1,yi_rabi_oilseed_lag1,yi_rabi_pulse_lag1,yi_summer_cash_lag1,yi_summer_cereal_lag1,yi_summer_coarse_lag1,yi_summer_hort_lag1,yi_summer_oilseed_lag1,yi_summer_pulse_lag1,yi_wholeyear_cash_lag1,yi_wholeyear_cereal_lag1,yi_wholeyear_coarse_lag1,yi_wholeyear_hort_lag1,yi_wholeyear_oilseed_lag1,yi_wholeyear_pulse_lag1,yidev_kharif_cash,yidev_kharif_cereal,yidev_kharif_coarse,yidev_kharif_hort,yidev_kharif_oilseed,yidev_kharif_pulse,yidev_rabi_cash,yidev_rabi_cereal,yidev_rabi_coarse,yidev_rabi_hort,yidev_rabi_oilseed,yidev_rabi_pulse,yidev_summer_cash,yidev_summer_cereal,yidev_summer_coarse,yidev_summer_hort,yidev_summer_oilseed,yidev_summer_pulse,yidev_wholeyear_cash,yidev_wholeyear_cereal,yidev_wholeyear_coarse,yidev_wholeyear_hort,yidev_wholeyear_oilseed,yidev_wholeyear_pulse,yi_kharif_cash,yi_kharif_cereal,yi_kharif_coarse,yi_kharif_hort,yi_kharif_oilseed,yi_kharif_pulse,yi_rabi_cash,yi_rabi_cereal,yi_rabi_coarse,yi_rabi_hort,yi_rabi_oilseed,yi_rabi_pulse,yi_summer_cash,yi_summer_cereal,yi_summer_coarse,yi_summer_hort,yi_summer_oilseed,yi_summer_pulse,yi_wholeyear_cash,yi_wholeyear_cereal,yi_wholeyear_coarse,yi_wholeyear_hort,yi_wholeyear_oilseed,yi_wholeyear_pulse,yigr_kharif_cash,yigr_kharif_cereal,yigr_kharif_coarse,yigr_kharif_hort,yigr_kharif_oilseed,yigr_kharif_pulse,yigr_rabi_cash,yigr_rabi_cereal,yigr_rabi_coarse,yigr_rabi_hort,yigr_rabi_oilseed,yigr_rabi_pulse,yigr_summer_cash,yigr_summer_cereal,yigr_summer_coarse,yigr_summer_hort,yigr_summer_oilseed,yigr_summer_pulse,yigr_wholeyear_cash,yigr_wholeyear_cereal,yigr_wholeyear_coarse,yigr_wholeyear_hort,yigr_wholeyear_oilseed,yigr_wholeyear_pulse,lyi_kharif_all,yidev_kharif_all,lyi_rabi_all,yidev_rabi_all,lyi_wholeyear_all,yidev_wholeyear_all,lyi_summer_all,yidev_summer_all,area_total,share_foodgrain_area,n_categories,hhi_area,census_state,census_district,pop_2011,lit_rate,f_lit_rate,sc_st_share,agri_worker_share,urban_share,nfhs_women_literate,nfhs_married_before18,nfhs_anc4_visits,nfhs_ifa_100days,nfhs_institutional_births,nfhs_women_bmi_low,nfhs_pregnant_anaemic,nfhs_women_anaemic,rain_annual,rain_jjas,rain_annual_anom,rain_jjas_anom,rain_jjas_anom_lag1,state_pop_2011,zone,female_pct,log_gdp,log_beds,log_tap,gdp_pc,log_gdp_pc,beds_per_lakh,child_marriage_per_mn,nitrate_missing
9,164,2016,Uttar Pradesh,Maharajganj,Uttar PradeshMaharajganj2016,72077,27291,48136,59446,68648,33298,122,10280,300,9980,38427,60.3,40305,50585,79.7,80.3,20.3,29666,20826,58.6,41.2,50080,99,639,98.7,45332,3592,7.9,46774,93.4,929,1.7,98.3,58791,0,3.1,62.2,30.3,20,0,0,0,69.2,0,0,0,30.8,101150052,281402,0.34,3,,4.161941059,0.9309097514,-0.4054650581,-0.7859289196,0.2821148542,-0.07949698994,,1.260730571,1.237874396,2.887818501,-0.3018720084,-0.2353121645,,0.6958315743,,2.604795615,0.1670539308,-0.3718741547,,,,,,,60.132,2.463812,,0.3413174,0.786747,0.6377953,,2.996001,2.2,18.66263,0.5227412,0.6568419,,1.964824,,13.57895,1.6,0.6111111,,,,,,,0.0387128191,0.01837530313,,0.07658481407,0.2508901923,0.1426853481,,0.07074080801,0.1913458411,0.03597624929,0.1312088573,0.1508220626,,0.007704431419,,0.0005974944767,-0.1984759622,0.0755879983,,,,,,,64.19601,2.536816,0.6666667,0.4556962,1.325931,0.9235808,,3.527998,3.448276,17.9541,0.7394327,0.7903241,,2.005376,,13.52846,1.181818,0.689441,,,,,,,0.06539891347,0.02920000732,,0.2890135233,0.5219634104,0.3702409036,,0.1634521718,0.4494170356,-0.03870462757,0.3467967665,0.1849997642,,0.02042890047,,-0.003725184987,-0.3029496984,0.1206023486,,,,,,,1.22085827,0.02409141022,1.156177713,0.07672902329,,,1.175076847,0.01319925417,353609,0.9237236609,6,0.7985398889,9,187,2684703,62.76160176,48.91565015,18.97457559,76.67394516,5.018432206,47.1,48.2,25.2,21.9,61.6,28.5,39.4,48.1,782.3,715.2,-0.3008855686,-0.1261196037,-1.714938175,199812341,north,48.15966822,18.43211564,12.54753953,-1.078809661,50622.52486,10.83215191,140.833143,0.01501408764,1
9,165,2014,Uttar Pradesh,Mahoba,Uttar PradeshMahoba2014,26098,9655,16098,20500,22779,9612,218,1454,746,708,13604,56.7,13604,15058,90.3,95.3,9.7,10223,6301,67.9,41.8,14961,99.4,94,99.4,13721,1830,13.3,13801,92.2,910,0,100,24902,0,0,88.6,11.2,1,0,0,0,0,0,0,0,100,83443238,281402,1.28,10,,3.699937834,0.5306282511,-0.5971488739,-2.357025439,-0.9011728353,-1.19499225,,-0.02380182946,0.5419050169,2.792478968,-1.012605066,-1.354348507,,,,2.708050201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01246606112,0.04505400111,0.2576837102,0.02654595032,-0.02149982343,-0.05170656245,,-0.2453593826,0.1244836922,0.1283601407,0.1790755775,-0.3111496014,,,,,,,,,,,,,40.44479,1.7,0.5503786,0.0947015,0.4060931,0.3027063,,0.9764792,1.719279,16.32143,0.3632714,0.2581154,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.379373354,-0.01892349702,-0.7924508322,-0.2386965701,,,2.708050201,,317966,0.8159991949,6,0.3766824328,9,169,875958,65.26973412,53.21528905,25.29173773,69.96934305,21.16322929,59.8,25.9,23.6,7.9,89.6,35,,64.8,594,428.2,-1.350873135,-1.872296125,0.4743297681,199812341,north,47.64397906,18.23967717,12.54753953,0.2468600779,41760.80295,10.63971345,140.833143,0.05004695881,1
9,165,2015,Uttar Pradesh,Mahoba,Uttar PradeshMahoba2015,22839,9365,19393,20591,21655,10121,164,280,22,258,13201,30.5,13201,13481,97.9,98.1,2.1,10893,8776,80.8,65.1,13770,102.1,71,99.5,13629,1597,11.7,13684,99.4,873,0,100,42673,0,1.5,96.5,2,9,0,0,0,11.1,11.1,0,0,77.8,90824131,281402,1.28,4,1.02,3.602371223,0.3462761635,-1.922099389,-2.234946071,-1.067210719,-1.532105181,1.466336992,-0.2394356751,-0.257227749,2.48490665,-2.300488293,-1.495293935,,,,,0.4700036292,,,,,,,,40.44479,1.7,0.5503786,0.0947015,0.4060931,0.3027063,,0.9764792,1.719279,16.32143,0.3632714,0.2581154,,,,,,,,,,,,,-0.08510054985,-0.1392980864,-1.067266804,0.1486253189,-0.1875377075,-0.3888194931,,-0.4609932283,-0.6746490737,-0.1792121778,-1.10880765,-0.4520950288,,,,,,,,,,,,,36.68512,1.413793,0.1462995,0.1069979,0.3439666,0.2160803,4.333333,0.7870719,0.7731921,12,0.1002099,0.2241827,,,,,1.6,,,,,,,,-0.09756661097,-0.1843520875,-1.324950515,0.1220793685,-0.166037884,-0.3371129306,,-0.2156338457,-0.7991327659,-0.3075723185,-1.287883227,-0.1409454273,,,,,,,,,,,,,-1.707275884,-0.1362024011,-1.051557759,-0.5228819262,,,0.4700036292,,215006,0.5985600402,6,0.3353249688,9,169,875958,65.26973412,53.21528905,25.29173773,69.96934305,21.16322929,59.8,25.9,23.6,7.9,89.6,35,,64.8,593.05,454.1,-1.343925679,-1.714938175,-1.872296125,199812341,north,46.60971703,18.32443557,12.54753953,0.2468600779,45454.71543,10.72447184,140.833143,0.02001878352,0
9,165,2016,Uttar Pradesh,Mahoba,Uttar PradeshMahoba2016,21765,7946,22416,19451,21802,7181,299,151,26,125,12706,37.7,12706,12857,98.8,99,1.2,10245,5236,79.7,40.7,12832,99.8,75,99.4,12716,1451,11.4,12222,95.2,921,0.5,99.5,44168,0,0.3,93.8,6,23,0,0,34.8,0,0,0,0,65.2,101150052,281402,1.28,3,,3.760106262,0.5798183353,-0.04524948976,-2.558742659,-0.670635481,-0.7027596325,1.466336992,0.9279101641,0.9675867063,2.714970865,-0.2619485709,-0.2799542756,,,,,0.2006705136,,,,,,,,36.68512,1.413793,0.1462995,0.1069979,0.3439666,0.2160803,4.333333,0.7870719,0.7731921,12,0.1002099,0.2241827,,,,,1.6,,,,,,,,0.07263448874,0.0942440853,0.8095830943,-0.1751712692,0.2090375309,0.4405260555,,0.7063526109,0.5501653815,0.05085203708,0.9297320722,0.7632446302,,,,,,,,,,,,,42.95299,1.785714,0.955759,0.077402,0.5113835,0.4952168,4.333333,2.529218,2.631586,15.10417,0.7695506,0.7558183,,,,,1.222222,,,,,,,,0.1577350386,0.2335421717,1.876849899,-0.323796588,0.3965752383,0.8293455486,0,1.167345839,1.224814455,0.2300642148,2.038539722,1.215339659,,,,,-0.2693331156,,,,,,,,-0.9874127253,0.2701706443,0.2642378642,0.7451223618,,,0.2006705136,,284604,0.8136849798,6,0.346317182,9,169,875958,65.26973412,53.21528905,25.29173773,69.96934305,21.16322929,59.8,25.9,23.6,7.9,89.6,35,,64.8,782.3,715.2,-0.3008855686,-0.1261196037,-1.714938175,199812341,north,47.94377928,18.43211564,12.54753953,0.2468600779,50622.52486,10.83215191,140.833143,0.01501408764,1
9,166,2011,Uttar Pradesh,Mainpuri,Uttar PradeshMainpuri2011,53604,18735,17738,53953,31582,,,12492,9810,2682,15652,100,15652,28144,55.6,90.5,44.4,11766,5668,41.8,20.1,28415,101,128,99.6,26368,4120,15.6,22613,79.6,946,0.2,99.8,45783,0,4,93.7,2.3,5,80,0,0,20,0,0,0,0,72405044,281402,0.74,4,8.0211,3.860192304,0.9458277863,0.810813765,1.882944333,0.00111637662,-0.2344904344,,1.318799742,1.196664766,2.81725193,0.4181957288,0.4893067446,,0.5310475749,,2.631400951,0.5347790364,0.2327579842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01163198493,-0.01827213266,-0.01231731456,0.02027221646,-0.179836723,-0.1013287519,,0.008556095054,-0.001985962976,-0.1052065566,-0.04824172393,-0.1242486887,,-0.09832359942,,0.1118986096,0.2747085935,0.2234422231,,,,,,,47.47448,2.574944,2.249738,6.572829,1.001117,0.7909738,,3.738931,3.309062,16.73081,1.519218,1.631185,,1.700713,,13.89322,1.707071,1.262076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9285706513,-0.01918527,1.436743258,-0.008775047691,,,0.5111042258,0.1958011358,330058,0.8939368232,6,0.6773687675,9,148,1868529,75.9942052,66.29964975,19.73124313,72.75907567,15.43684899,73.1,18.4,13.7,7,59.6,21.4,29.5,27,779.25,733,-0.3068341735,-0.01803528974,-0.1664172879,199812341,north,48.61253854,18.09778652,12.54753953,-0.3011050928,36236.52255,10.4978228,140.833143,0.02001878352,0
9,166,2012,Uttar Pradesh,Mainpuri,Uttar PradeshMainpuri2012,58111,24278,22784,58533,40316,575,42,11353,9312,2041,14278,100,14278,25631,55.7,92,44.3,7984,5926,31.1,23.1,28383,110.7,98,99.7,24801,5877,23.7,22847,80.5,851,0,100,50054,0,0,96,4,20,0,75,0,25,0,0,0,0,75820496,281402,0.74,4,5.814839,3.814439945,0.9770117255,0.8498000131,1.887149797,-0.007088061058,-0.1020671669,1.609437912,1.280099887,1.180054939,2.991374794,0.5126948756,0.6601512532,,0.6567793142,,2.432164939,-0.2470444149,0.06725015384,,,,,,,47.47448,2.574944,2.249738,6.572829,1.001117,0.7909738,,3.738931,3.309062,16.73081,1.519218,1.631185,,1.700713,,13.89322,1.707071,1.262076,,,,,,,-0.03412037399,0.01291180656,0.02666893355,0.02447768037,-0.1880411607,0.03109451562,,-0.03014375993,-0.01859578948,0.06891630704,0.04625742291,0.04659581988,,0.02740813984,,-0.08733740327,-0.5071148578,0.05793439277,,,,,,,45.35135,2.656506,2.339179,6.600529,0.992937,0.9029689,5,3.596999,3.254553,19.91304,1.669785,1.935085,,1.928571,,11.3835,0.781106,1.069563,,,,,,,-0.04575235892,0.03118393921,0.03898624811,0.004205463911,-0.008204437678,0.1324232675,,-0.03869985499,-0.0166098265,0.1741228637,0.09449914684,0.1708445086,,0.1257317393,,-0.1992360128,-0.7818234513,-0.1655078303,,,,,,,0.9509685143,0.01225928521,1.452008227,-0.01353384444,,,0.2544077977,0.004473973721,319003,0.8881985436,6,0.6471398652,9,148,1868529,75.9942052,66.29964975,19.73124313,72.75907567,15.43684899,73.1,18.4,13.7,7,59.6,21.4,29.5,27,496.15,469.55,-1.895242911,-1.620659463,-0.01803528974,199812341,north,45.97514857,18.14387921,12.54753953,-0.3011050928,37945.8524,10.54391549,140.833143,0.02001878352,0
9,166,2013,Uttar Pradesh,Mainpuri,Uttar PradeshMainpuri2013,53318,30277,35086,44675,42559,5288,261,11778,8061,3717,17716,92.8,17716,29494,60.1,87.4,39.9,16833,11846,57.1,40.2,29379,99.6,143,99.5,27443,2088,7.6,28203,96,869,0,100,68487,0,8.1,69.5,22,2,0,100,0,0,0,0,0,0,80206969,281402,0.74,5,5,3.871048708,0.9694602451,0.8087794606,1.81792222,0.5488309833,-0.06292744628,1.704748092,1.331831312,1.219232481,2.958748736,0.4684217537,0.6912083021,,0.7002866339,,2.494941136,0.4924767073,-0.2720608548,,,,,,,45.35135,2.656506,2.339179,6.600529,0.992937,0.9029689,5,3.596999,3.254553,19.91304,1.669785,1.935085,,1.928571,,11.3835,0.781106,1.069563,,,,,,,0.02248838907,0.0053603261,-0.014351619,-0.04474989682,0.3678778837,0.07023423625,,0.02158766488,0.02058175245,0.03629024958,0.001984301023,0.07765286886,,0.07091545958,,-0.02456120628,0.2324062644,-0.2813766159,,,,,,,47.99269,2.636521,2.245166,6.159048,1.731228,0.9390116,5.5,3.787974,3.384589,19.27384,1.597471,1.996126,,2.01433,,12.12102,1.636364,0.7618079,,,,,,,0.05660876306,-0.007551480455,-0.04102055255,-0.06922757719,0.5559190443,0.03913972063,0.0953101798,0.05173142482,0.03917754193,-0.03262605746,-0.04427312189,0.03105704898,,0.04350731974,,0.06277619699,0.7395211222,-0.3393110087,,,,,,,0.9455360184,0.007096582196,1.484838338,0.02328066534,,,0.1123122497,-0.2013628451,324564,0.8968000148,6,0.6566307148,9,148,1868529,75.9942052,66.29964975,19.73124313,72.75907567,15.43684899,73.1,18.4,13.7,7,59.6,21.4,29.5,27,986.95,813.9,0.8422398338,0.4743297681,-1.620659463,199812341,north,46.49545211,18.20012096,12.54753953,-0.3011050928,40141.14874,10.60015724,140.833143,0.02502347941,0
9,167,2013,Uttar Pradesh,Mathura,Uttar PradeshMathura2013,72287,38030,46952,56375,75294,13858,1335,12976,7475,5501,20444,83.9,20444,33420,61.2,83.5,38.8,16967,13033,50.8,39,38352,114.8,83,99.8,29187,4544,15.6,37092,96.7,895,10.7,89.3,59345,0,2.1,20.9,76.9,3,0,33.3,0,0,0,0,0,66.7,80206969,281402,3.98,5,5,2.757597539,0.8774821258,0.4314115684,0.09665473004,,0.1632984256,,1.248755234,1.219298957,3.272070371,0.4177210299,0.1460922981,,0.6109089395,,2.48490665,,-0.1721855006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.324483677,0.03835855214,0.04724674347,-0.05378521614,,0.2213792876,,-0.05122266178,0.06964535711,-0.0259007289,-0.07231111598,0.07535237477,,-0.008603895431,,0.0578377932,,0.3905491196,,,,,,,15.76193,2.404837,1.539429,1.10148,,1.177388,,3.486001,3.384814,26.36587,1.518497,1.157303,,1.842105,,12,,0.841823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7005700878,0.05062997397,1.198962503,-0.05177160838,,,-0.1510077569,0.3818974888,355675,0.8389597245,6,0.5168155762,9,145,2547184,70.35981013,56.89475982,19.94751851,49.36553067,29.67955986,61.2,25.4,27.5,6.4,70.6,18.1,41.9,45.1,986.95,813.9,0.8422398338,0.4743297681,-1.620659463,199812341,north,47.22955145,18.20012096,12.54753953,1.381281819,40141.14874,10.60015724,140.833143,0.02502347941,0
9,167,2015,Uttar Pradesh,Mathura,Uttar PradeshMathura2015,65294,28032,54517,56320,57386,31791,2072,17150,2231,14919,21734,80,23554,40704,57.9,63.3,42.1,22506,17219,55.3,42.3,38593,94.8,127,99.7,35539,3858,10.9,36308,94.1,913,25.1,74.9,63534,0,1.7,79.2,13.5,11,0,0,0,50,0,0,0,50,90824131,281402,3.98,4,1.02,2.791332578,0.8002093975,0.3812762353,0.5108258238,,-0.0340381817,,1.239230965,0.9996722288,3.393200156,0.4491578581,-0.3483066276,,0.6211736212,,2.270571276,,-0.2888690433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3582187166,-0.03891417615,-0.002888589696,0.3603858776,,0.02404268031,,-0.06074693035,-0.1499813706,0.09522905596,-0.04087428778,-0.4190465509,,0.001660786336,,-0.1564975809,,0.2738655769,,,,,,,16.30273,2.226007,1.464152,1.666667,,0.9665346,,3.452957,2.717391,29.76104,1.566992,0.7058824,,1.861111,,9.684932,,0.7491103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6359505401,-0.01003562798,1.284571612,-0.04604671167,,,-0.1216098571,0.2439757031,342569,0.8164982821,6,0.4785585597,9,145,2547184,70.35981013,56.89475982,19.94751851,49.36553067,29.67955986,61.2,25.4,27.5,6.4,70.6,18.1,41.9,45.1,593.05,454.1,-1.343925679,-1.714938175,-1.872296125,199812341,north,47.72608468,18.32443557,12.54753953,1.381281819,45454.71543,10.72447184,140.833143,0.02001878352,0
9,167,2016,Uttar Pradesh,Mathura,Uttar PradeshMathura2016,61745,31455,49785,50387,60216,21302,660,13442,1120,12322,23097,80,33146,46588,71.1,73.6,28.9,20875,13329,44.8,28.6,36709,78.8,82,99.8,35195,4716,13.4,35519,96.8,876,6.5,93.5,51021,0,3.7,36.9,49.8,3,0,0,0,66.7,0,0,0,33.3,101150052,281402,3.98,3,,1.750411468,0.8396791977,0.3398066712,-0.1561607153,,-0.3035028299,,1.411947488,1.229989613,3.228642773,0.6032175496,0.4144340995,,0.626455944,,2.525728644,,-1.227149317,,,,,,,16.30273,2.226007,1.464152,1.666667,,0.9665346,,3.452957,2.717391,29.76104,1.566992,0.7058824,,1.861111,,9.684932,,0.7491103,,,,,,,-0.6827023935,0.0005556240037,-0.04435815377,-0.3066006614,,-0.2454219679,,0.1119695921,0.08033601351,-0.06932832706,0.1131854038,0.3436941762,,0.006943109095,,0.09865978772,,-0.6644146966,,,,,,,5.756971,2.315624,1.404676,0.8554217,,0.7382278,,4.10394,3.421194,25.24537,1.827991,1.513514,,1.870968,,12.5,,0.293127,,,,,,,-1.04092111,0.03946980015,-0.04146956408,-0.666986539,,-0.2694646482,,0.1727165225,0.2303173841,-0.164557383,0.1540596915,0.7627407271,,0.005282322759,,0.2551573686,,-0.9382802735,,,,,,,0.5982638403,-0.05093738989,1.359271716,0.1022059419,,,-1.1980159,-0.6543975481,358322,0.823251154,6,0.4928950708,9,145,2547184,70.35981013,56.89475982,19.94751851,49.36553067,29.67955986,61.2,25.4,27.5,6.4,70.6,18.1,41.9,45.1,782.3,715.2,-0.3008855686,-0.1261196037,-1.714938175,199812341,north,46.69509595,18.43211564,12.54753953,1.381281819,50622.52486,10.83215191,140.833143,0.01501408764,1
9,168,2011,Uttar Pradesh,Mau,Uttar PradeshMau2011,48987,7299,37830,41892,17142,1016,48,13957,12427,1530,27280,87.4,27280,41237,66.2,96.3,33.8,29123,15560,70.6,37.7,44634,108.2,563,98.8,41269,5968,14.5,40388,90.5,999,0.1,99.9,44919,0,0,100,0,73,0,1.4,4.1,0,0,0,0,94.5,72405044,281402,0.46,4,8.0211,3.797464316,0.8678292137,0.3470546166,0.4616355897,0.001998002663,0.08178088847,,1.097937394,0.8656124062,3.281229586,0.1344303634,0.2910616054,,0.5011903533,,2.090410537,0.5500461446,-0.2388919083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1123080148,0.04985633907,-0.05442695472,-0.06454183925,0.03723362721,-0.08316633637,,-0.06922681412,0.01956923113,0.3052029511,-0.0624047724,-0.09442609108,,-0.08054261777,,-0.1422757633,0.3863109237,0.04432821346,,,,,,,44.58798,2.381735,1.414894,1.586667,1.002,1.085218,,2.997976,2.376461,26.60847,1.143885,1.337847,,1.650685,,8.088235,1.733333,0.7875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.043725661,0.03532212315,1.096020645,-0.06292515719,,,0.9193871726,-0.057739536,204318,0.9550504606,6,0.8403303214,9,192,2205968,73.09385635,63.62957866,22.55028178,51.31963252,22.62988402,67.6,14,39,6.6,77.7,25.8,50.9,53.3,779.25,733,-0.3068341735,-0.01803528974,-0.1664172879,199812341,north,49.97498749,18.09778652,12.54753953,-0.7765287895,36236.52255,10.4978228,140.833143,0.02001878352,0
9,168,2012,Uttar Pradesh,Mau,Uttar PradeshMau2012,55454,15080,40492,48404,30323,3936,577,10812,7975,2837,22774,99.2,22774,33586,67.8,91.6,32.2,23403,13121,69.7,39.1,39681,118.1,498,98.8,29838,6680,22.4,32797,82.7,950,0,100,60622,0,13.2,73.6,2.5,22,0,0,0,0,0,0,0,100,75820496,281402,0.46,4,5.814839,3.868447849,0.7597833439,0.4559490751,0.3886579898,-0.007504689873,0.08981419542,,1.200567011,0.9597570351,3.190079976,0.2329314927,0.4392073804,,0.6135599941,,2.250047762,-0.2411620386,-0.2323320112,,,,,,,44.58798,2.381735,1.414894,1.586667,1.002,1.085218,,2.997976,2.376461,26.60847,1.143885,1.337847,,1.650685,,8.088235,1.733333,0.7875,,,,,,,-0.04132448135,-0.05818953076,0.05446750373,-0.1375194391,0.02773093467,-0.07513302942,,0.03340280276,0.11371386,0.2140533404,0.03609635692,0.05371968397,,0.03182702307,,0.01736146196,-0.4048972596,0.05088811052,,,,,,,47.86803,2.137813,1.57767,1.475,0.9925234,1.093971,,3.322,2.611062,24.29037,1.262295,1.551477,,1.846995,,9.488189,0.7857143,0.7926829,,,,,,,0.07098353346,-0.1080458698,0.1088944585,-0.07297759987,-0.009502692535,0.008033306952,,0.1026296169,0.09414462888,-0.09114961065,0.09850112932,0.148145775,,0.1123696408,,0.1596372253,-0.7912081832,0.006559897068,,,,,,,0.9716929273,-0.05668701788,1.194043985,0.0380494673,,,0.9251479094,0.0160923998,197262,0.9525656234,6,0.8327528151,9,192,2205968,73.09385635,63.62957866,22.55028178,51.31963252,22.62988402,67.6,14,39,6.6,77.7,25.8,50.9,53.3,496.15,469.55,-1.895242911,-1.620659463,-0.01803528974,199812341,north,48.71794872,18.14387921,12.54753953,-0.7765287895,37945.8524,10.54391549,140.833143,0.02001878352,0
9,168,2016,Uttar Pradesh,Mau,Uttar PradeshMau2016,64289,20576,51091,50623,58612,7243,64,4710,2924,1786,26168,99.7,34423,39133,88,95.4,12,29796,28869,76.1,73.8,30454,77.8,440,98.6,30829,2016,6.5,27193,89.3,951,0.3,99.7,49808,0,0.5,78.9,13.4,4,0,0,0,50,25,25,0,0,101150052,281402,0.46,3,,4.063404827,0.8263060663,0.4014410223,0.7282387073,-0.1002001864,0.3232465906,,1.20298822,0.712760084,2.456770344,0.2231435513,0.4261941036,,0.6304485658,,2.357600601,0.1823215568,-0.3784364457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1536324962,0.008333191691,-4.05490193e-05,0.2020612784,-0.06496456188,0.1582993658,,0.03582401135,-0.1332830911,-0.5192562915,0.02630841548,0.04070640711,,0.04871559471,,0.1249143013,0.01858633587,-0.09521632398,,,,,,,58.17204,2.284863,1.493976,2.071429,0.9046563,1.381606,,3.330053,2.039613,11.66707,1.25,1.531418,,1.878453,,10.56557,1.2,0.6849315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02144137,0.02127035739,1.17546706,0.02799649366,,,0.9739269917,0.04479828786,199655,0.9595151637,6,0.8476843326,9,192,2205968,73.09385635,63.62957866,22.55028178,51.31963252,22.62988402,67.6,14,39,6.6,77.7,25.8,50.9,53.3,782.3,715.2,-0.3008855686,-0.1261196037,-1.714938175,199812341,north,48.74423373,18.43211564,12.54753953,-0.7765287895,50622.52486,10.83215191,140.833143,0.01501408764,1
9,169,2013,Uttar Pradesh,Meerut,Uttar PradeshMeerut2013,94700,59470,60715,82151,75041,30116,1652,11927,6647,5280,28064,77,28510,40437,70.5,86.9,29.5,34380,27289,85,67.5,55518,137.3,518,99.1,48135,4977,10.3,46260,83.3,850,4.5,95.5,83330,0,7.4,84.1,8.1,7,0,0,0,0,0,14.3,0,85.7,80206969,281402,6.47,5,5,4.264737477,0.9923969633,0.298492924,0.1541509655,,-0.5823654861,,1.456751893,1.280212196,2.993037145,0.3999767412,-0.1277625786,,0.6658314807,,2.546562896,,-0.5349856407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.09139811363,-0.03464140365,-0.1658289188,0.2316573028,,-0.1296302277,,0.07969624436,0.06086551161,-0.09791833881,0.2068061241,0.04843851493,,-0.1421091781,,-0.03997579841,,-0.05093005909,,,,,,,71.14624,2.697693,1.347826,1.166667,,0.5585755,,4.291996,3.597403,19.94617,1.49179,0.8800623,,1.946108,,12.76316,,0.5856777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.869606303,-0.08618554163,1.476666938,0.07452308672,,,0.407171876,-0.07003127775,242267,0.3954356144,6,0.4580879407,9,138,3443689,72.84047116,63.98275649,18.22287088,32.09999826,51.08422973,70.4,8.9,47.1,16.5,65.2,18.8,53.8,59.9,986.95,813.9,0.8422398338,0.4743297681,-1.620659463,199812341,north,45.94594595,18.20012096,12.54753953,1.867176109,40141.14874,10.60015724,140.833143,0.02502347941,0
